feature,importance
Cyl_tmp_z8__max_30m,0.0
Cyl_tmp_z8__max_15m,0.0
Ejector_fix_deviation_torque__max_15m,0.0
Ejector_fix_deviation_torque__last_5m,0.0
Ejector_fix_deviation_torque__last_30m,0.0
Ejector_fix_deviation_torque__last_15m,0.0
Dosage_time__std_5m,0.0
Dosage_time__std_30m,0.0
Dosage_time__std_15m,0.0
Cyl_tmp_z1__max_15m,0.0
Cyl_tmp_z1__last_5m,0.0
Cyl_tmp_z1__last_30m,0.0
Cyl_tmp_z1__last_15m,0.0
Cycle_time__std_5m,0.0
Cycle_time__std_30m,0.0
Cycle_time__std_15m,0.0
Cycle_time__min_5m,0.0
Cyl_tmp_z2__std_15m,0.0
Cyl_tmp_z2__min_5m,0.0
Cyl_tmp_z2__min_30m,0.0
Cyl_tmp_z2__min_15m,0.0
Cyl_tmp_z2__mean_5m,0.0
Cyl_tmp_z2__mean_30m,0.0
Cyl_tmp_z2__mean_15m,0.0
Cyl_tmp_z2__max_5m,0.0
Dosage_time__min_5m,0.0
Dosage_time__min_30m,0.0
Dosage_time__min_15m,0.0
Dosage_time__mean_5m,0.0
Dosage_time__mean_15m,0.0
Dosage_time__max_5m,0.0
Dosage_time__max_30m,0.0
Extruder_start_position__max_5m,0.0
Extruder_start_position__max_30m,0.0
Extruder_start_position__last_5m,0.0
Extruder_start_position__last_30m,0.0
Extruder_start_position__last_15m,0.0
Ejector_fix_deviation_torque__std_5m,0.0
Ejector_fix_deviation_torque__std_15m,0.0
Ejector_fix_deviation_torque__min_5m,0.0
Ejector_fix_deviation_torque__mean_5m,0.0
Ejector_fix_deviation_torque__mean_30m,0.0
Ejector_fix_deviation_torque__mean_15m,0.0
Ejector_fix_deviation_torque__max_5m,0.0
Extruder_torque__mean_15m,0.0
Extruder_torque__max_5m,0.0
Extruder_torque__last_5m,0.0
Extruder_torque__last_30m,0.0
Extruder_start_position__std_5m,0.0
Extruder_start_position__std_30m,0.0
Extruder_start_position__std_15m,0.0
Extruder_start_position__min_5m,0.0
Extruder_start_position__min_30m,0.0
Extruder_start_position__min_15m,0.0
Extruder_start_position__mean_5m,0.0
Extruder_start_position__mean_30m,0.0
Time_on_machine__max_5m,0.0
Injection_pressure__mean_15m,0.0
Injection_pressure__max_5m,0.0
Injection_pressure__max_30m,0.0
Injection_pressure__max_15m,0.0
Injection_pressure__last_5m,0.0
Injection_pressure__last_30m,0.0
Switch_position__last_15m,0.0
Extruder_torque__std_5m,0.0
Extruder_torque__std_30m,0.0
Extruder_torque__std_15m,0.0
Extruder_torque__min_5m,0.0
Extruder_torque__min_30m,0.0
Extruder_torque__mean_5m,0.0
Extruder_torque__mean_30m,0.0
Injection_time__mean_5m,0.0
Injection_time__mean_30m,0.0
Injection_time__mean_15m,0.0
Injection_time__max_5m,0.0
Injection_time__max_30m,0.0
Injection_time__max_15m,0.0
Injection_time__last_5m,0.0
Injection_time__last_30m,0.0
Injection_time__last_15m,0.0
Injection_pressure__std_5m,0.0
Injection_pressure__std_30m,0.0
Injection_pressure__std_15m,0.0
Injection_pressure__min_5m,0.0
Injection_pressure__min_15m,0.0
Injection_pressure__mean_5m,0.0
Machine_status__min_15m,0.0
Machine_status__mean_5m,0.0
Machine_status__mean_30m,0.0
Machine_status__mean_15m,0.0
Machine_status__max_5m,0.0
Machine_status__max_30m,0.0
Machine_status__max_15m,0.0
Machine_status__last_5m,0.0
Machine_status__last_30m,0.0
Machine_status__last_15m,0.0
Injection_time__std_5m,0.0
Injection_time__std_30m,0.0
Injection_time__std_15m,0.0
Injection_time__min_5m,0.0
Injection_time__min_30m,0.0
Injection_time__min_15m,0.0
Peak_pressure_position__min_30m,0.0
Peak_pressure_position__mean_5m,0.0
Peak_pressure_position__mean_30m,0.0
Peak_pressure_position__mean_15m,0.0
Peak_pressure_position__max_5m,0.0
Peak_pressure_position__max_15m,0.0
Peak_pressure_position__last_5m,0.0
Peak_pressure_position__last_30m,0.0
Peak_pressure_position__last_15m,0.0
Machine_status__std_5m,0.0
Machine_status__std_30m,0.0
Machine_status__std_15m,0.0
Machine_status__min_5m,0.0
Machine_status__min_30m,0.0
Peak_pressure_time__min_5m,0.0
Peak_pressure_time__min_30m,0.0
Peak_pressure_time__min_15m,0.0
Peak_pressure_time__mean_5m,0.0
Peak_pressure_time__mean_30m,0.0
Peak_pressure_time__mean_15m,0.0
Peak_pressure_time__max_5m,0.0
Peak_pressure_time__max_30m,0.0
Peak_pressure_time__max_15m,0.0
Peak_pressure_time__last_5m,0.0
Peak_pressure_time__last_30m,0.0
Peak_pressure_time__last_15m,0.0
Peak_pressure_position__std_5m,0.0
Switch_position__last_30m,0.0
Peak_pressure_position__min_5m,0.0
Scrap_counter__std_15m,0.0
Scrap_counter__min_5m,0.0
Scrap_counter__min_30m,0.0
Scrap_counter__mean_5m,0.0
Scrap_counter__mean_30m,0.0
Scrap_counter__mean_15m,0.0
Cushion__max_30m,0.0
Scrap_counter__max_30m,0.0
Scrap_counter__last_5m,0.0
Scrap_counter__last_30m,0.0
Peak_pressure_time__std_5m,0.0
Peak_pressure_time__std_30m,0.0
Peak_pressure_time__std_15m,0.0
Shot_counter__std_30m,0.0
Shot_counter__std_15m,0.0
Shot_counter__min_5m,0.0
Shot_counter__min_15m,0.0
Shot_counter__mean_5m,0.0
Shot_counter__mean_30m,0.0
Shot_counter__mean_15m,0.0
Shot_counter__max_5m,0.0
Shot_counter__max_15m,0.0
Shot_counter__last_5m,0.0
Shot_counter__last_30m,0.0
Shot_counter__last_15m,0.0
Scrap_counter__std_5m,0.0
Scrap_counter__std_30m,0.0
Shot_size__std_5m,0.0
Shot_size__std_30m,0.0
Shot_size__std_15m,0.0
Shot_size__min_5m,0.0
Shot_size__min_30m,0.0
Shot_size__min_15m,0.0
Shot_size__mean_5m,0.0
Shot_size__mean_30m,0.0
Shot_size__mean_15m,0.0
Shot_size__max_5m,0.0
Shot_size__max_30m,0.0
Shot_size__max_15m,0.0
Shot_size__last_5m,0.0
